5|404
87|39
496|980
579|166
327|448
909|302
198|281
571|86
693|846
340|943
627|739
705|779
301|702
619|554
18|155
555|62
631|971
101|94
887|894
765|220
105|416
781|917
831|693
803|124
398|646
112|419
350|301
539|265
697|307
737|792
360|24
147|172
892|846
670|226
180|477
198|797
80|119
838|210
957|787
947|607
898|495
155|370
42|136
711|329
431|835
395|580
157|972
858|80
268|608
24|983
22|577
942|920
448|313
339|230
461|328
306|909
358|129
893|864
867|776
129|756
134|340
793|344
81|617
640|107
260|757
941|348
762|962
584|321
551|234
921|728
795|481
867|102
528|485
221|27
78|992
212|491
478|267
849|681
782|598
839|829
672|231
969|703
386|956
147|395
544|571
313|633
853|400
959|652
472|690
814|595
395|612
28|266
545|449
869|495
113|901
537|951
394|91
56|563
511|163
714|570
337|825
482|505
679|577
636|78
306|197
209|92
782|243
434|60
203|702
158|936
87|651
281|641
34|360
239|762
344|395
141|308
974|243
257|569
129|521
585|966
812|790
188|915
692|445
168|150
656|994
360|807
5|777
483|685
543|839
471|318
338|873
733|910
55|900
116|539
984|863
929|680
116|190
124|295
462|365
948|587
191|88
105|348
35|332
302|196
759|570
26|288
50|267
627|937
56|277
859|790
328|628
164|791
65|678
690|813
653|187
222|177
890|882
127|250
767|385
875|722
597|919
779|413
837|640
630|848
562|185
239|185
505|157
258|562
922|312
282|355
641|488
542|571
347|847
397|166
139|377
169|670
400|137
193|408
848|749
953|423
48|840
251|468
947|37
671|733
624|564
326|455
102|519
80|108
377|207
66|989
243|463
709|185
15|567
783|368
962|849
713|172
358|858
306|799
236|73
622|310
176|663
541|574
50|713
568|880
56|85
31|640
683|963
179|584
131|66
452|379
252|302
769|774
850|154
96|242
213|280
870|303
583|754
813|579
921|134
135|300
998|902
312|877
817|72
487|394
678|721
667|170
620|243
58|872
892|766
723|895
617|325
666|774
213|727
56|928
149|599
661|996
929|151
380|348
989|890
955|777
665|701
563|491
611|699
681|340
695|939
685|154
409|238
682|673
236|536
664|89
16|558
244|79
59|670
240|468
861|709
881|2
809|945
229|914
760|175
163|512
45|714
232|209
912|507
586|690
468|705
111|453
226|865
760|106
457|483
432|940
459|213
478|985
58|683
344|463
9|766
911|61
373|152
44|301
325|35
165|551
83|548
0|155
597|428
774|942
185|123
457|277
741|221
52|831
236|246
151|229
162|123
681|700
793|50
80|74
821|458
780|421
317|880
856|910
213|322
388|628
908|400
278|884
308|634
318|151
99|212
65|79
883|935
388|959
865|298
361|546
348|700
121|725
341|35
958|860
364|140
617|912
857|521
319|761
844|795
391|158
730|928
973|609
393|701
537|381
492|895
45|913
959|840
280|207
278|551
543|273
675|457
785|958
593|151
220|361
615|625
115|69
905|202
814|419
725|511
332|639
496|577
368|467
94|702
951|16
241|112
482|292
252|118
482|273
142|15
15|241
480|176
764|865
780|975
8|757
25|860
481|766
219|902
775|98
88|317
863|889
199|203
120|503
142|821
815|787
718|540
276|709
495|91
158|320
811|502
686|118
694|194
990|380
629|715
73|349
342|384
185|823
151|125
41|276
56|260
722|957
160|219
38|483
583|770
271|127
743|455
285|585
630|744
194|5
212|739
872|426
748|466
445|334
355|451
558|370
49|881
264|550
778|727
956|474
155|506
795|858
444|944
604|886
98|598
193|405
929|36
64|315
387|295
209|693
773|702
127|131
212|899
78|861
191|733
805|901
787|718
848|704
942|14
981|802
860|557
235|756
258|152
439|12
816|947
163|483
518|263
699|451
378|663
645|543
866|741
694|363
791|290
617|210
187|358
372|372
312|406
831|215
467|370
872|59
460|65
44|242
570|322
383|523
18|396
326|279
367|438
934|119
861|870
963|966
534|229
824|458
575|790
170|111
431|484
983|7
789|586
83|800
696|452
792|469
906|94
191|790
32|92
4|873
470|711
352|595
406|905
524|231
240|585
666|779
152|271
91|533
411|318
488|780
354|133
421|409
78|494
60|439
37|33
426|482
785|295
639|718
131|388
600|883
61|851
